ScripCode,TradingSymbol,Description,InstrumentType
3530,AXISBPSETF-EQ,AXISAMC - AXISBPSETF,0
9436,AXISCADES-EQ,AXISCADES TECH LTD,0
5732,AXISCETF-EQ,AXISAMC - AXISCETF,0
20532,AXISGOLD-EQ,AXIS MF - AXIS GOLD ETF,0
3608,AXISHCETF-EQ,AXISAMC - AXISHCETF,0
11193,AXISILVER-EQ,AXISAMC - AXISILVER,0
21252,AXISNIFTY-EQ,AXISAMC - AXISNIFTY,0
3010,AXISTECETF-EQ,AXISAMC - AXISTECETF,0
9902,AXITA-EQ,AXITA COTTON LIMITED,0
14742,AXSENSEX-EQ,AXISAMC - AXSENSEX,0
10285,AYMSYNTEX-EQ,AYM SYNTEX LIMITED,0
20905,AZAD-EQ,AZAD ENGINEERING LIMITED,0
20141,BABAFP-SM,BABA FOOD PROCESSING,0
17735,BAFNAPH-BE,BAFNA PHARMACEUTICALS LTD,0
14075,BAGFILMS-BE,B.A.G FILMS AND MEDIA LTD,0
12989,BAHETI-SM,BAHETI RECYCLING IND LTD,0
13794,BAIDFIN-EQ,BAID FINSERV LIMITED,0
16669,BAJAJ-AUTO-EQ,BAJAJ AUTO LIMITED,0
19531,BAJAJCON-EQ,BAJAJ CONSUMER CARE LTD,0
15034,BAJAJELEC-EQ,BAJAJ ELECT.LTD,0
16675,BAJAJFINSV-EQ,BAJAJ FINSERV LTD.,0
6863,BAJAJHCARE-EQ,BAJAJ HEALTHCARE LIMITED,0
308,BAJAJHIND-EQ,BAJAJ HINDUSTHAN SUGAR LT,0
305,BAJAJHLDNG-EQ,BAJAJ HOLDINGS & INVS LTD,0
20531,BAJEL-EQ,BAJEL PROJECTS LIMITED,0
317,BAJFINANCE-EQ,BAJAJ FINANCE LIMITED,0
9158,BALAJITELE-EQ,BALAJI TELEFILMS LIMITED.,0
14501,BALAMINES-EQ,BALAJI AMINES LIMITED,0
11309,BALAXI-EQ,BALAXI PHARMA LTD,0
10181,BALKRISHNA-EQ,BALKRISHNA PAPER MILLS L,0
335,BALKRISIND-EQ,BALKRISHNA IND. LTD,0
338,BALMLAWRIE-EQ,BALMER LAWRIE & CO LTD,0
13441,BALPHARMA-EQ,BAL PHARMA LTD.,0
341,BALRAMCHIN-EQ,BALRAMPUR CHINI MILLS LTD,0
23607,BALUFORGE-EQ,BALU FORGE INDUSTRIES LTD,0
347,BANARBEADS-EQ,BANARAS BEADS LTD,0
350,BANARISUG-EQ,BANNARI AMMAN SUGARS LTD,0
13880,BANCOINDIA-EQ,BANCO PRODUCTS (I) LTD,0
2263,BANDHANBNK-EQ,BANDHAN BANK LIMITED,0
15303,BANG-EQ,BANG OVERSEAS LTD.,0
828,BANKA-BE,BANKA BIOLOO LIMITED,0
4668,BANKBARODA-EQ,BANK OF BARODA,0
11439,BANKBEES-EQ,NIP IND ETF BANK BEES,0
21986,BANKBETF-EQ,BFAM - BANKBETF,0
17419,BANKETF-EQ,MIRAEAMC - BANKETF,0
13644,BANKETFADD-EQ,DSPAMC - DSPBANKETF,0
11037,BANKIETF-EQ,ICICIPRAMC - IPRU5008,0
4745,BANKINDIA-EQ,BANK OF INDIA,0
5851,BANKNIFTY1-EQ,KOTAKMAMC-KOTAKBKETF,0
14511,BANSWRAS-EQ,BANSWARA SYNTEX LIMITED,0
3127,BARBEQUE-EQ,BARBEQUE NATION HOSP. LTD,0
368,BASF-EQ,BASF INDIA LTD,0
18442,BASILIC-SM,BASILIC FLY STUDIO LTD,0
12034,BASML-EQ,BANNARI AM SPIN MILL LTD.,0
371,BATAINDIA-EQ,BATA INDIA LTD,0
